iter	Passed	Remaining
310	2170	4808
311	2176	4800
312	2183	4791
313	2189	4783
314	2196	4775
315	2202	4767
316	2209	4759
317	2215	4752
318	2222	4744
319	2228	4736
320	2235	4728
321	2242	4721
322	2249	4715
323	2256	4707
324	2263	4700
325	2269	4691
326	2276	4684
327	2283	4678
328	2290	4671
329	2297	4664
330	2304	4657
331	2311	4651
332	2318	4644
333	2326	4638
334	2333	4632
335	2340	4625
336	2348	4619
337	2355	4613
338	2361	4605
339	2368	4596
340	2374	4589
341	2381	4581
342	2387	4573
343	2394	4565
344	2400	4557
345	2407	4550
346	2413	4542
347	2420	4534
348	2426	4525
349	2432	4517
350	2438	4509
351	2445	4501
352	2452	4495
353	2459	4488
354	2466	4480
355	2472	4473
356	2479	4465
357	2485	4457
358	2492	4450
359	2499	4443
360	2506	4435
361	2512	4428
362	2518	4419
363	2525	4412
364	2531	4404
365	2538	4397
366	2545	4389
367	2552	4382
368	2558	4375
369	2565	4368
370	2572	4360
371	2579	4353
372	2585	4346
373	2591	4338
374	2598	4330
375	2604	4322
376	2610	4314
377	2617	4306
378	2623	4299
379	2630	4291
380	2636	4283
381	2643	4277
382	2650	4269
383	2656	4261
384	2663	4254
385	2669	4246
386	2676	4238
387	2682	4231
388	2689	4224
389	2696	4216
390	2702	4209
391	2709	4201
392	2715	4194
393	2722	4187
394	2729	4180
395	2735	4172
396	2742	4164
397	2748	4157
398	2755	4150
399	2761	4142
400	2768	4135
401	2774	4127
402	2781	4120
403	2788	4113
404	2794	4106
405	2801	4098
406	2808	4091
407	2815	4084
408	2821	4076
409	2827	4069
410	2834	4061
411	2840	4054
412	2847	4046
413	2854	4040
414	2861	4033
415	2867	4026
416	2874	4018
417	2881	4011
418	2887	4004
419	2894	3996
420	2900	3988
421	2906	3981
422	2912	3973
423	2919	3966
424	2925	3958
425	2932	3951
426	2939	3944
427	2946	3937
428	2952	3930
429	2959	3923
430	2966	3916
431	2973	3908
432	2979	3901
433	2985	3893
434	2992	3886
435	2998	3879
436	3005	3872
437	3012	3864
438	3018	3857
439	3025	3850
440	3032	3844
441	3039	3837
442	3046	3829
443	3053	3823
444	3060	3816
445	3066	3809
446	3073	3801
447	3079	3794
448	3087	3788
449	3093	3780
450	3100	3773
451	3106	3766
452	3112	3758
453	3119	3751
454	3125	3744
455	3132	3737
456	3139	3730
457	3146	3723
458	3153	3716
459	3159	3709
460	3166	3701
461	3172	3694
462	3179	3687
463	3185	3680
464	3192	3673
465	3199	3666
466	3206	3659
467	3212	3652
468	3218	3644
469	3225	3637
470	3232	3630
471	3238	3623
472	3245	3615
473	3251	3608
474	3258	3601
475	3265	3594
476	3272	3587
477	3278	3580
478	3285	3573
479	3292	3566
480	3298	3559
481	3305	3551
482	3311	3544
483	3318	3537
484	3324	3530
485	3331	3523
486	3338	3516
487	3345	3509
488	3351	3502
489	3358	3495
490	3365	3488
491	3372	3481
492	3378	3474
493	3385	3467
494	3392	3460
495	3398	3453
496	3406	3447
497	3413	3441
498	3420	3434
499	3427	3427
500	3435	3421
501	3442	3414
502	3449	3408
503	3456	3402
504	3464	3396
505	3472	3390
506	3479	3383
507	3486	3376
508	3493	3369
509	3500	3363
510	3507	3356
511	3515	3350
512	3522	3343
513	3529	3337
514	3536	3330
515	3543	3323
516	3550	3316
517	3557	3310
518	3564	3303
519	3571	3296
520	3577	3289
521	3585	3282
522	3592	3276
523	3599	3269
524	3606	3262
525	3612	3255
526	3620	3249
527	3627	3242
528	3633	3235
529	3640	3228
530	3647	3221
531	3654	3215
532	3661	3208
533	3669	3201
534	3676	3195
535	3683	3188
536	3690	3181
537	3697	3174
538	3704	3168
539	3712	3162
540	3718	3155
541	3725	3148
542	3732	3141
543	3739	3134
544	3747	3128
545	3753	3121
546	3760	3114
547	3767	3107
548	3774	3101
549	3782	3094
550	3789	3088
551	3796	3081
552	3803	3074
553	3810	3067
554	3818	3061
555	3825	3054
556	3832	3048
557	3839	3041
558	3846	3034
559	3852	3027
560	3859	3020
561	3866	3013
562	3873	3006
563	3880	2999
564	3887	2992
565	3893	2985
566	3900	2978
567	3907	2971
568	3914	2965
569	3921	2958
570	3927	2951
571	3934	2943
572	3940	2936
573	3947	2929
574	3953	2922
575	3960	2915
576	3966	2908
577	3973	2900
578	3979	2893
579	3985	2886
580	3992	2879
581	3998	2871
582	4005	2864
583	4011	2857
584	4017	2850
585	4024	2843
586	4030	2835
587	4037	2829
588	4044	2822
589	4051	2815
590	4057	2808
591	4064	2801
592	4071	2794
593	4077	2787
594	4084	2780
595	4091	2773
596	4098	2766
597	4104	2759
598	4111	2752
599	4117	2745
600	4124	2737
601	4130	2731
602	4137	2723
603	4143	2716
604	4150	2709
605	4156	2702
606	4163	2695
607	4170	2688
608	4176	2681
609	4183	2674
610	4190	2667
611	4196	2660
612	4203	2653
613	4209	2646
614	4215	2639
615	4222	2632
616	4228	2624
617	4235	2617
618	4241	2610
619	4247	2603
620	4254	2596
621	4260	2589
622	4267	2582
623	4273	2575
624	4280	2568
625	4287	2561
626	4293	2554
627	4300	2547
628	4307	2540
629	4313	2533
630	4320	2526
631	4326	2519
632	4333	2512
633	4339	2505
634	4346	2498
635	4353	2491
636	4359	2484
637	4366	2477
638	4372	2470
639	4378	2463
640	4385	2456
641	4391	2449
642	4398	2441
643	4404	2434
644	4410	2427
645	4416	2420
646	4423	2413
647	4429	2406
648	4436	2399
649	4443	2392
650	4450	2385
651	4457	2379
652	4463	2372
653	4470	2365
654	4476	2357
655	4483	2351
656	4489	2344
657	4496	2337
658	4502	2329
659	4509	2322
660	4515	2315
661	4521	2308
662	4527	2301
663	4534	2294
664	4541	2287
665	4548	2281
666	4554	2273
667	4561	2266
668	4567	2260
669	4574	2253
670	4580	2246
671	4587	2238
672	4593	2231
673	4600	2224
674	4606	2217
675	4612	2210
676	4619	2203
677	4625	2196
678	4631	2189
679	4638	2182
680	4644	2175
681	4650	2168
682	4657	2161
683	4664	2154
684	4670	2147
685	4677	2140
686	4683	2133
687	4689	2126
688	4696	2120
689	4704	2113
690	4710	2106
691	4716	2099
692	4723	2092
693	4729	2085
694	4736	2078
695	4742	2071
696	4748	2064
697	4755	2057
698	4761	2050
699	4768	2043
700	4775	2036
701	4782	2029
702	4789	2023
703	4795	2016
704	4802	2009
705	4809	2002
706	4815	1995
707	4822	1988
708	4828	1981
709	4835	1975
710	4841	1968
711	4848	1960
712	4854	1954
713	4860	1947
714	4867	1940
715	4874	1933
716	4880	1926
717	4886	1919
718	4893	1912
719	4900	1905
720	4907	1898
721	4913	1891
722	4920	1885
723	4927	1878
724	4933	1871
725	4939	1864
726	4946	1857
727	4952	1850
728	4959	1843
729	4966	1836
730	4972	1829
731	4978	1822
732	4985	1815
733	4991	1808
734	4997	1801
735	5004	1795
736	5010	1787
737	5019	1782
738	5028	1776
739	5038	1770
740	5046	1764
741	5057	1758
742	5066	1752
743	5074	1745
744	5081	1739
745	5089	1732
746	5097	1726
747	5105	1720
748	5112	1713
749	5119	1706
750	5126	1699
751	5133	1692
752	5140	1686
753	5146	1679
754	5153	1672
755	5159	1665
756	5166	1658
757	5172	1651
758	5179	1644
759	5185	1637
760	5192	1630
761	5198	1623
762	5205	1616
763	5211	1609
764	5217	1602
765	5224	1595
766	5230	1588
767	5240	1583
768	5247	1576
769	5254	1569
770	5260	1562
771	5267	1555
772	5273	1548
773	5280	1541
774	5287	1535
775	5295	1528
776	5312	1524
777	5318	1517
778	5325	1510
779	5331	1503
780	5338	1497
781	5346	1490
782	5353	1483
783	5359	1476
784	5366	1469
785	5372	1462
786	5379	1455
787	5385	1448
788	5392	1442
789	5399	1435
790	5406	1428
791	5413	1421
792	5420	1414
793	5426	1407
794	5433	1401
795	5440	1394
796	5446	1387
797	5452	1380
798	5459	1373
799	5465	1366
800	5471	1359
801	5478	1352
802	5484	1345
803	5491	1338
804	5498	1331
805	5504	1325
806	5511	1318
807	5517	1311
808	5523	1304
809	5530	1297
810	5536	1290
811	5543	1283
812	5549	1276
813	5556	1269
814	5563	1262
815	5569	1255
816	5576	1249
817	5582	1242
818	5589	1235
819	5595	1228
820	5602	1221
821	5609	1214
822	5616	1207
823	5622	1200
824	5629	1194
825	5636	1187
826	5643	1180
827	5649	1173
828	5657	1166
829	5663	1160
830	5671	1153
831	5682	1147
832	5692	1141
833	5700	1134
834	5709	1128
835	5717	1121
836	5727	1115
837	5735	1108
838	5742	1101
839	5749	1095
840	5756	1088
841	5762	1081
842	5769	1074
843	5775	1067
844	5782	1060
845	5791	1054
846	5808	1049
847	5819	1043
848	5833	1037
849	5856	1033
850	5866	1027
851	5877	1020
852	5886	1014
853	5896	1008
854	5905	1001
855	5917	995
856	5927	989
857	5937	982
858	5946	976
859	5956	969
860	5967	963
861	5977	956
862	5987	950
863	5996	943
864	6005	937
865	6013	930
866	6022	923
867	6030	917
868	6039	910
869	6048	903
870	6056	896
871	6064	890
872	6072	883
873	6082	876
874	6091	870
875	6100	863
876	6109	856
877	6117	850
878	6126	843
879	6135	836
880	6144	829
881	6152	823
882	6161	816
883	6170	809
884	6178	802
885	6188	796
886	6198	789
887	6207	782
888	6217	776
889	6226	769
890	6236	762
891	6245	756
892	6254	749
893	6263	742
894	6273	735
895	6282	729
896	6292	722
897	6300	715
898	6309	708
899	6318	702
900	6328	695
901	6336	688
902	6345	681
903	6353	674
904	6362	667
905	6371	661
906	6381	654
907	6390	647
908	6401	640
909	6410	634
910	6420	627
911	6430	620
912	6439	613
913	6449	606
914	6459	600
915	6467	593
916	6477	586
917	6485	579
918	6494	572
919	6503	565
920	6511	558
921	6519	551
922	6528	544
923	6536	537
924	6544	530
925	6552	523
926	6561	516
927	6569	509
928	6577	502
929	6585	495
930	6594	488
931	6603	481
932	6610	474
933	6619	467
934	6627	460
935	6636	453
936	6645	446
937	6653	439
938	6661	432
939	6670	425
940	6678	418
941	6687	411
942	6695	404
943	6703	397
944	6711	390
945	6720	383
946	6728	376
947	6736	369
948	6745	362
949	6753	355
950	6761	348
951	6769	341
952	6777	334
953	6786	327
954	6795	320
955	6804	313
956	6812	306
957	6821	299
958	6829	291
959	6837	284
960	6846	277
961	6854	270
962	6863	263
963	6871	256
964	6880	249
965	6888	242
966	6897	235
967	6905	228
968	6914	221
969	6922	214
970	6931	207
971	6939	199
972	6947	192
973	6955	185
974	6964	178
975	6972	171
976	6981	164
977	6990	157
978	6998	150
979	7007	143
980	7015	135
981	7024	128
982	7033	121
983	7043	114
984	7051	107
985	7059	100
986	7068	93
987	7076	85
988	7085	78
989	7092	71
990	7101	64
991	7109	57
992	7118	50
993	7126	43
994	7135	35
995	7143	28
996	7151	21
997	7160	14
998	7168	7
999	7177	0
